"";"";"";"";"carnaval";""
"1";"carnaval";"3.17662424429599";"0.489635784500118";"0.862455959122687";"128"
"2";"hôtellerie";"3.17662424429599";"0.489635784500118";"0.854616836681362";"171"
"3";"descendre";"-0.786102002846598";"1.48537621845259";"0.852594491892789";"179"
"4";"suprême";"-0.982627773072424";"1.60372201085696";"0.84934791831916";"218"
"5";"force";"-0.937516200688211";"1.36097213668568";"0.848606166440185";"225"
"6";"damoiseau";"3.17662424429599";"0.489635784500118";"0.846784477934982";"240"
"7";"cadix";"3.17662424429599";"0.489635784500118";"0.846784477934982";"242"
"8";"métairie";"3.17662424429599";"0.489635784500118";"0.846784477934982";"243"
"9";"andalou";"3.17662424429599";"0.489635784500118";"0.846784477934982";"245"
"10";"différent";"-0.660863756405051";"-2.43851811317018";"0.846006653016301";"257"
"11";"chimère";"-1.13145898394181";"1.43182653818696";"0.844586277077838";"271"
"12";"ambition";"-1.10914657127594";"1.68634720353431";"0.84369346934509";"286"
"13";"faible";"-0.9470978811912";"0.900401894680906";"0.843440958067141";"290"
"14";"humanité";"-1.02292695036242";"1.43959159215003";"0.842453458605162";"299"
"15";"magnificence";"-0.666636413183466";"-1.05563774201832";"0.841867271709924";"305"
"16";"grandeur";"-0.838972250072308";"1.49368561180797";"0.841321666984355";"309"
"17";"coupable";"-1.02199233925875";"1.21994765099582";"0.840262021442963";"313"
"18";"voiture";"-0.587767656539086";"-2.17572116501221";"0.839844926921351";"316"
"19";"disposer";"-1.07169087886435";"1.37258110782213";"0.838940846363694";"330"
"20";"étonnement";"-0.522668090960049";"-2.71936287401212";"0.837813563872851";"350"
"21";"bonté";"-0.706813627511324";"1.30654605189783";"0.837452833475781";"358"
"22";"magnifique";"-0.626191894760416";"-1.8761411417966";"0.83622184099578";"365"
"23";"rapport";"-0.289517221182927";"-1.33814776198625";"0.835184741104204";"378"
"24";"exister";"-0.746451495861928";"-1.75040363665072";"0.835184741104204";"380"
"25";"user";"-1.10595908375225";"1.72270729858393";"0.833651636916657";"390"
"26";"déposer";"-1.13145898394181";"1.43182653818696";"0.833405889333653";"395"
"27";"fameux";"-0.373167827861735";"-1.78310985117319";"0.830596701366471";"399"
