"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"homme";-0,272261602899839;0,0223479873644502;-0,469214142917464;0,0420228870637044;-0,499959427069559;0,0410380561925901;-0,861627315667611;0,0771674680395809;0,370238547457349;0,00161983496427324;0,623973389029247;0,00416822854918182;0,000980711737298868;6,60762538910429e-06;0,00291280067791372;2,33636316795047e-05;0,0132302660918686;0,268451256251282;0,000953453374680739
"voir";0,00882905321222232;-0,294538885224338;0,606013958968169;-0,229608400727438;0,0124020677306127;-0,413735325413443;0,851260716654827;-0,322528233649935;0,000269062505815347;0,194444331432092;0,719291967882144;0,0859946381799587;9,18345520212883e-07;0,00102202876862699;0,00432656366705718;0,000621088360562731;0,0117808830087706;0,322929264435375;0,00122854947286015
"candide";2,98317048772335;0,423804281234993;-0,177843727955448;0,0194769360020115;0,988318358511354;0,140405502563116;-0,058919267942546;0,00645266956667609;0,985083373149385;0,0129101894563364;0,00198659340298411;1,98439912932296e-05;0,0942582969847152;0,00190236619615118;0,000334996714669652;4,01795173433696e-06;0,0105916456072543;1,8032728326128;0,0344418380786095
"grand";-0,161237891417019;-0,232720267135412;0,0397607571636375;-0,209536060724147;-0,454881789382455;-0,656546737307092;0,112172419316863;-0,591139820824337;0,313936707614186;0,424679588761182;0,0108325876674286;0,25055111595725;0,00019033516251061;0,000396509156344165;1,15742830613376e-05;0,000321441804167062;0,00732124275308458;0,172649736832989;0,000218231103419599
"donner";0,02803958839891;-0,382131013006665;-0,773760008743076;0,57922857039735;0,0269683667539486;-0,367532117811767;-0,74419935836622;0,557099779733154;0,00132385628148007;0,159664085782265;0,57203838594423;0,266973671992025;4,55812727599691e-06;0,000846579505419728;0,00347100899272682;0,00194510535659547;0,00579753233239185;0,462350226064833;0,00123932533523798
"aller";1,29862599952349;0,0189130357473656;-0,0567711924910827;-0,230045703292119;0,983657649186465;0,0143258738767432;-0,0430019249327993;-0,174250489200743;0,98420177087234;0,000135557495761826;0,00106730127844515;0,0145953703534541;0,00839830352347051;1,7813360873447e-06;1,60501617280802e-05;0,000263543088703144;0,00497993161884941;0,785347531131251;0,00307147613288351
"trouver";-0,0920174983923961;-1,45216914169409;0,0576685199791565;0,243990833105811;-0,0623204040640034;-0,983506064180626;0,0390569786145269;0,165246910345516;0,00601427714469667;0,97266232783914;0,00134040254866026;0,0199829924675064;3,46140256110974e-05;0,00862076236694441;1,35953025726364e-05;0,000243365093294315;0,0040880035677122;0,711866513593971;0,00207161188677746
"jour";-0,0498792173035237;0,0536375532881236;0,0355534180290684;0,670384323879063;-0,0738611736282303;0,0794265197126033;0,0526475218354432;0,992705491795623;0,0114411106075609;0,0085911625774754;0,00329842553329346;0,976669301281671;1,054053591291e-05;1,21888112082629e-05;5,35532892911641e-06;0,00190401836457997;0,00423665824290174;0,279772741291067;0,000331615047261971
"mettre";0,340285172544607;-0,0697554487259795;-0,727810842281458;-0,326268906600137;0,391153094715332;-0,0801829225716463;-0,836608486925612;-0,375041591062278;0,246457035669537;0,00672506580254885;0,639745518457785;0,107072380070127;0,000443242970913203;1,86256775151317e-05;0,00202764932661929;0,000407480828736698;0,00382785788613052;0,411237088509487;0,000647351795951884
"oeil";-0,295098366443722;0,186599555386115;0,83983588736489;-0,039748635564368;-0,324145633543586;0,204967014316288;0,922503025222434;-0,0436611927499854;0,170528813865161;0,0442762126955717;0,78373286520287;0,00146210823639665;0,000423958637207734;0,000169516152192981;0,00343382955327347;7,69191236171365e-06;0,00486844061245726;0,428733856115902;0,000894881308115857
