"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"419";"2491";"16.82";"****";""
" 1";"285";" 0.35";"-62.39";"candide";"2.815052e-15"
" 0";" 91";" 0.00";"-19.10";"cunégonde";"1.240598e-05"
" 0";" 90";" 0.00";"-18.88";"martin";"1.390575e-05"
" 0";" 72";" 0.00";"-14.99";"cacambo";"1.078987e-04"
" 1";" 68";" 1.47";"-11.77";"pangloss";"6.009553e-04"
" 0";" 52";" 0.00";"-10.74";"vieux";"1.048650e-03"
" 0";" 46";" 0.00";" -9.48";"entrer";"2.080489e-03"
" 1";" 57";" 1.75";" -9.46";"gens";"2.095372e-03"
" 7";"110";" 6.36";" -8.99";"trouver";"2.708515e-03"
" 1";" 53";" 1.89";" -8.63";"apercevoir";"3.303571e-03"
" 2";" 63";" 3.17";" -8.60";"entendre";"3.357304e-03"
" 5";" 89";" 5.62";" -8.28";"parler";"4.010943e-03"
" 0";" 38";" 0.00";" -7.80";"soleil";"5.214793e-03"
" 0";" 37";" 0.00";" -7.59";"effet";"5.853188e-03"
" 0";" 35";" 0.00";" -7.18";"mademoiselle";"7.377967e-03"
" 0";" 34";" 0.00";" -6.97";"vivre";"8.285852e-03"
" 4";" 73";" 5.48";" -6.91";"chose";"8.555003e-03"
" 3";" 64";" 4.69";" -6.91";"maître";"8.564650e-03"
"37";"317";"11.67";" -6.88";"voir";"8.707906e-03"
" 0";" 32";" 0.00";" -6.56";"larme";"1.045750e-02"
" 2";" 52";" 3.85";" -6.39";"lieu";"1.147815e-02"
" 0";" 31";" 0.00";" -6.35";"meilleur";"1.175256e-02"
" 3";" 61";" 4.92";" -6.33";"peine";"1.186000e-02"
" 4";" 69";" 5.80";" -6.16";"petit";"1.304127e-02"
" 1";" 41";" 2.44";" -6.16";"auteur";"1.304988e-02"
" 0";" 29";" 0.00";" -5.93";"rencontrer";"1.485605e-02"
" 0";" 28";" 0.00";" -5.73";"écrire";"1.671046e-02"
" 9";"107";" 8.41";" -5.65";"monde";"1.744628e-02"
" 2";" 48";" 4.17";" -5.60";"air";"1.794791e-02"
" 0";" 27";" 0.00";" -5.52";"pari";"1.880272e-02"
" 0";" 25";" 0.00";" -5.11";"science";"2.383287e-02"
" 0";" 24";" 0.00";" -4.90";"mener";"2.684897e-02"
" 0";" 24";" 0.00";" -4.90";"profond";"2.684897e-02"
" 0";" 24";" 0.00";" -4.90";"venise";"2.684897e-02"
" 0";" 24";" 0.00";" -4.90";"saint";"2.684897e-02"
" 9";"102";" 8.82";" -4.86";"venir";"2.746459e-02"
" 0";" 23";" 0.00";" -4.69";"goût";"3.026095e-02"
" 0";" 23";" 0.00";" -4.69";"majesté";"3.026095e-02"
" 1";" 33";" 3.03";" -4.55";"milieu";"3.300293e-02"
" 8";" 92";" 8.70";" -4.51";"prendre";"3.375155e-02"
" 0";" 22";" 0.00";" -4.49";"part";"3.412394e-02"
" 0";" 22";" 0.00";" -4.49";"souper";"3.412394e-02"
" 0";" 22";" 0.00";" -4.49";"instant";"3.412394e-02"
" 0";" 22";" 0.00";" -4.49";"sublime";"3.412394e-02"
" 5";" 68";" 7.35";" -4.48";"paraître";"3.431942e-02"
" 3";" 51";" 5.88";" -4.45";"livre";"3.485320e-02"
" 1";" 32";" 3.12";" -4.35";"ouvrir";"3.710070e-02"
" 1";" 32";" 3.12";" -4.35";"mériter";"3.710070e-02"
" 0";" 21";" 0.00";" -4.28";"gros";"3.850154e-02"
" 0";" 21";" 0.00";" -4.28";"adorer";"3.850154e-02"
" 0";" 21";" 0.00";" -4.28";"dame";"3.850154e-02"
" 0";" 21";" 0.00";" -4.28";"immense";"3.850154e-02"
" 1";" 31";" 3.23";" -4.15";"manger";"4.171959e-02"
" 0";" 20";" 0.00";" -4.08";"continuer";"4.346726e-02"
" 0";" 20";" 0.00";" -4.08";"théâtre";"4.346726e-02"
" 0";" 20";" 0.00";" -4.08";"représenter";"4.346726e-02"
" 2";" 39";" 5.13";" -3.87";"ciel";"4.911631e-02"
" 0";" 19";" 0.00";" -3.87";"tuer";"4.910638e-02"
" 0";" 19";" 0.00";" -3.87";"élevé";"4.910638e-02"
" 0";" 19";" 0.00";" -3.87";"occuper";"4.910638e-02"
" 0";" 19";" 0.00";" -3.87";"aventure";"4.910638e-02"
" 0";" 19";" 0.00";" -3.87";"créateur";"4.910638e-02"
" 1";" 29";" 3.45";" -3.75";"grâce";"5.280563e-02"
" 1";" 29";" 3.45";" -3.75";"lumière";"5.280563e-02"
" 2";" 38";" 5.26";" -3.68";"maison";"5.493583e-02"
" 0";" 18";" 0.00";" -3.67";"pleurer";"5.551814e-02"
" 0";" 18";" 0.00";" -3.67";"possible";"5.551814e-02"
" 0";" 18";" 0.00";" -3.67";"assemblée";"5.551814e-02"
" 0";" 18";" 0.00";" -3.67";"temple";"5.551814e-02"
" 4";" 55";" 7.27";" -3.66";"sortir";"5.558412e-02"
" 1";" 28";" 3.57";" -3.55";"plein";"5.944076e-02"
" 2";" 37";" 5.41";" -3.50";"attendre";"6.144660e-02"
" 5";" 62";" 8.06";" -3.48";"idée";"6.195917e-02"
" 0";" 17";" 0.00";" -3.46";"rouge";"6.281849e-02"
" 0";" 17";" 0.00";" -3.46";"vendre";"6.281849e-02"
" 0";" 17";" 0.00";" -3.46";"degré";"6.281849e-02"
" 0";" 17";" 0.00";" -3.46";"froid";"6.281849e-02"
" 0";" 17";" 0.00";" -3.46";"visage";"6.281849e-02"
" 0";" 17";" 0.00";" -3.46";"surprise";"6.281849e-02"
"12";"114";"10.53";" -3.38";"jour";"6.587908e-02"
" 1";" 27";" 3.70";" -3.36";"découvrir";"6.693613e-02"
" 1";" 27";" 3.70";" -3.36";"oreille";"6.693613e-02"
" 1";" 27";" 3.70";" -3.36";"noble";"6.693613e-02"
" 5";" 61";" 8.20";" -3.32";"premier";"6.828169e-02"
" 2";" 36";" 5.56";" -3.31";"reprendre";"6.873096e-02"
" 2";" 36";" 5.56";" -3.31";"heure";"6.873096e-02"
" 0";" 16";" 0.00";" -3.26";"assurer";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"raisonner";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"pareil";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"prêt";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"statue";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"paqueter";"7.114352e-02"
" 0";" 16";" 0.00";" -3.26";"curiosité";"7.114352e-02"
"15";"134";"11.19";" -3.20";"aller";"7.344168e-02"
" 1";" 26";" 3.85";" -3.16";"connaissance";"7.540893e-02"
" 1";" 26";" 3.85";" -3.16";"abbé";"7.540893e-02"
" 1";" 26";" 3.85";" -3.16";"diamant";"7.540893e-02"
