"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"homme";13,626;7,716;-12,621;-6,851;0,001
"voir";-6,882;-6,711;-1,058;30,189;0,536
"candide";-62,392;-67,574;975,834;-59,697;-83,085
"grand";0,588;0,006;-3,979;3,389;-0,226
"donner";-0,003;28,093;-0,04;-7,45;-5,053
"aller";-3,204;-7,515;75,911;-1,179;-12,086
"trouver";-8,994;20,553;-3,227;19,761;-15,581
"jour";-3,383;2,594;-0,352;-2,236;4,382
"mettre";5,447;0,213;3,619;-2,438;-8,825
"oeil";-2,097;-6,958;-6,014;5,149;17,091
"beau";-0,153;0,127;4,742;-0,109;-3,428
"temps";-0,098;28,666;-5,744;-0,999;-2,194
"venir";-4,861;-1,029;2,193;1,811;0,044
"dieu";-0,236;-5,966;-4,371;-5,999;50,423
"coeur";15,359;-0,513;-12,302;-9,987;12,968
"roi";53,813;-7,622;0,106;-9,304;-2,054
"monde";-5,651;0,258;12,604;-2,151;-0,287
"prendre";-4,507;-7,198;26,866;0,303;-1,525
"peuple";8,203;-0,012;-20,797;0,512;2,033
"cunégonde";-19,1;-23,011;317,252;-18,922;-27,707
"répondre";-2,834;-0,004;10,16;-0,827;-0,588
"main";6,161;-1,061;-8,548;-1,096;6,98
"âme";9,496;-1,219;-21,56;-15,408;42,992
"parler";-8,279;1,541;4,314;-10,12;5,161
"nature";7,319;7,131;-22,544;-7,48;5,368
"vérité";-2,317;39,749;-20,098;-10,844;8,419
"rendre";11,922;-3,421;-4,563;-6,118;9,541
"martin";-18,882;-20,242;286,789;-18,68;-22,287
"terre";-0,309;-8,425;1,907;-2,285;10,706
"passer";-2,48;-0,138;11,874;0,224;-4,465
"mort";2,34;-0,266;-4,066;-0,49;3,166
"état";76,886;-5,206;-2,969;-7,001;-2,254
"vie";-1,652;-3,043;-1,483;-0,761;23,256
"femme";-0,078;-1,266;-3,627;-0,884;16,685
"petit";-6,164;-1,171;0,023;23,048;-1,838
"pangloss";-11,773;-14,571;223,638;-15,834;-20,508
"docteur";-3,052;1,809;8,275;-1,396;-2,207
"ville";-1,718;-1,663;-1,044;20,622;-0,635
"siècle";0,24;30,269;-17,071;1,029;-6,128
"devenir";-0,921;15,814;-0,019;-4,819;-0,547
"loi";89,733;0,488;-20,839;-3,429;-8,177
"chose";-6,913;8,427;0,212;6,803;-10,749
"esprit";-0,223;53,81;-11,013;-4,317;-1,687
"tête";4,456;-7,421;-11,895;21,421;-0,024
"premier";-3,324;1,75;0,009;0,835;-0,323
"rester";-0,067;-3,122;1,219;7,13;-2,783
"public";6,013;1,978;-19,184;10,372;-4,596
"porte";-0,067;-1,274;-2,649;13,317;-0,21
"fois";9,007;-1,401;-5,264;-0,409;1,74
"livre";-4,452;18,326;0,278;0,886;-12,747
"cacambo";-14,993;-18,064;229,458;-16,793;-14,493
"seul";5,824;-0,062;-7,03;-0,491;1,878
"sentir";3,87;4,939;-14,676;-3,958;3,227
"chapitre";-2,895;-1,526;9,284;3,492;-4,311
"gens";-9,464;15,96;-0,331;10,704;-12,228
"aimer";-0,674;-7,134;2,317;-4,68;14,082
"maître";-6,911;-4,352;47,22;-3,606;-0,579
"vieux";-10,74;-8,357;133,001;-5,687;-13,05
"pied";1,511;-3,144;-0,014;0,248;0,058
"paraître";-4,479;-2,718;0,263;5,562;0,572
"enfant";-0,208;0,177;-5,759;-0,574;9,619
"arriver";-1,911;-2,29;11,548;0,511;-1,901
"servir";3,874;4,213;-0,051;-0,884;-6,804
"père";-0,127;-2,437;3,705;-4,646;3,526
"perdre";-0,674;-3,936;2,317;-8,215;14,082
"entendre";-8,602;-5,573;2,212;-2,322;22,92
"sortir";-3,664;-0,372;-0,193;1,824;2,171
"idée";-3,484;4,933;-13,488;-4,569;27,058
"coup";0,937;-1,297;-5,214;9,782;-0,167
"voix";-1,277;-1,665;-11,031;-2,03;47,074
"recevoir";0,221;-3,355;0,613;-0,884;1,981
"demander";0,001;-0,018;16,234;-0,995;-8,946
"porter";3,563;-0,234;-5,264;-0,995;3,929
"nation";9,081;21,811;-16,878;-3,641;-1,58
"vertu";69,313;-7,194;-13,784;-3,433;0,272
"penser";-0,563;34,334;-0,808;-1,95;-7,256
"humain";5,757;1,073;-13,86;-4,646;6,661
"heureux";0,535;-0,268;-1,047;-2,763;5,745
"art";8,685;23,168;-18,397;-4,569;-0,885
"peine";-6,332;1,75;-0,698;8,517;-0,771
"lieu";-6,39;0,41;-6,637;5,339;4,313
"raison";0,144;29,792;0,309;-13,687;-6,955
"pays";-2,112;0,32;25,276;-4,288;-5,419
"tomber";0,839;-2,024;-0,687;-9,421;17,643
"présenter";-1,352;1,614;-0,139;3,592;-2,403
"connaître";2,598;13,201;-0,298;-3,154;-7,256
"entrer";-9,477;-3,531;5,674;19,472;-3,729
"étranger";-0,859;-0,535;3,977;3,573;-4,915
"plaisir";-0,505;-3,546;0,001;4,942;0,105
"nouveau";-0,048;32,567;-4,777;-2,595;-2,381
"apercevoir";-8,632;-2,351;-0,088;29,632;-0,449
"mot";-2,211;0,137;-0,687;0,038;2,634
"cher";-1,832;-6,211;43,981;-5,476;-0,753
"reprendre";-3,313;0;0,137;1,036;0,112
"paria";-1,623;4,711;-0,456;-1,818;1,005
"nom";0,186;26,188;-9,102;-0,066;-3,962
"auteur";-6,162;30,714;-12,061;0,972;-0,239
"tenir";-0,653;2,849;-2,779;5,312;-1,83
"regarder";-0,009;-7,632;2,995;-6,869;11,602
"vivre";-6,971;3,564;6,952;0,103;-5,547
"sembler";-0,637;-0,65;-12,061;1,936;13,306
"place";-1,309;-11,671;-5,341;71,758;-1,657
"citoyen";56,51;-5,305;-11,357;0,251;-2,686
"air";-5,601;-11,924;-4,066;20,78;10,059
"long";-0,344;7,284;-1,641;0,016;-0,769
"jeune";4,216;-2,748;0,345;-1,222;0,031
"doux";-3,03;-4,419;-10,172;-1,359;60,915
"former";0,68;4,619;-7,097;0,776;-0,875
"ami";-0,738;0,092;2,912;-5,329;0,845
"force";21,595;-5,529;-11,654;-4,851;12,388
"corps";28,741;-0,198;-8,114;-1,313;-0,218
"baron";-2,438;-2,938;41,675;-2,731;-3,537
"prince";5,184;1,678;-3,158;-0,002;-2,09
"manger";-4,147;-0,001;22,888;-0,114;-6,776
"laisser";-0,009;-1,761;0,751;5,771;-3,049
"ciel";-3,871;-7,291;-2,107;0,11;29,758
"ancien";0,002;5,607;-1,46;4,854;-9,74
"particulier";7,746;13,776;-10,172;-0,139;-6,154
"ouvrage";-0,086;27,512;-13,56;1,808;-5,227
"malheureux";0,93;-3,897;-0,086;-0,701;4,319
"maison";-3,684;-7,045;0,034;8,654;1,742
"lire";-1,576;-0,083;-1,185;2,743;0,89
"génie";14,153;2,145;-8,7;-4,468;0,022
"chercher";-1,093;22,653;-4,691;-0,184;-1,045
"vaisseau";-2,524;-5,494;58,531;-3,247;-5,343
"simple";-1,626;43,246;-9,877;-0,092;-2,829
"jeter";-1,145;-7,648;4,774;-0,114;2,934
"côté";-0,029;-1,014;-8,7;21,409;-0,058
"marcher";-3,13;1,818;-0,572;2,407;-0,146
"espèce";1,299;2,145;-3,147;1,579;-3,251
"bonheur";20,292;-0,445;-2,107;-3,055;-0,106
"apprendre";2,007;1,818;-0,572;-1,168;-0,621
"vrai";2,611;1,253;-1,021;0,167;-3,522
"soleil";-7,803;-2,013;-8,7;0;46,034
"naître";32,144;-4,112;-2,257;-7,807;0,89
"mourir";0,314;-1,592;8,449;-2,609;-0,495
"frère";-0,97;-3,144;18,036;-4,255;0,058
