homme;84;89;54;48;81
voir;37;45;64;94;77
candide;1;4;271;5;4
grand;37;39;33;46;42
donner;26;56;34;16;24
aller;15;14;71;20;14
trouver;7;40;17;38;8
jour;12;29;23;15;35
mettre;26;22;31;13;11
oeil;16;14;18;34;49
beau;17;23;34;19;17
temps;16;41;13;15;17
venir;9;16;29;24;24
dieu;16;11;15;10;54
coeur;34;19;10;8;41
roi;44;9;24;7;17
monde;9;23;39;14;22
prendre;8;8;41;19;16
peuple;26;18;3;20;27
cunégonde;0;0;90;1;0
répondre;9;17;32;13;17
main;24;14;9;13;31
âme;29;16;4;4;51
parler;5;22;28;5;29
nature;25;28;2;7;30
vérité;9;39;2;4;30
rendre;26;10;11;7;31
martin;0;1;86;1;2
terre;11;5;22;9;29
passer;8;14;30;16;10
mort;12;8;5;7;16
état;43;8;12;6;13
vie;6;6;9;8;28
femme;8;7;6;7;24
petit;4;10;16;28;11
pangloss;1;1;66;0;0
docteur;0;5;8;1;1
ville;9;11;14;30;15
siècle;14;33;2;17;8
devenir;10;29;17;7;15
loi;41;16;0;7;6
chose;4;24;18;22;5
esprit;10;37;4;6;11
tête;17;4;3;26;14
premier;5;16;14;14;12
rester;10;7;18;20;9
public;20;19;1;24;9
porte;10;9;9;23;13
fois;17;7;5;8;16
livre;3;22;13;12;1
cacambo;0;0;69;0;3
seul;17;11;5;9;18
sentir;17;20;2;6;21
chapitre;6;9;25;18;8
gens;1;23;11;20;2
aimer;7;3;17;4;24
maître;3;6;37;6;12
vieux;0;2;46;3;1
pied;9;3;8;8;9
paraître;5;8;17;20;18
enfant;8;12;5;8;22
arriver;6;7;24;13;9
servir;14;16;11;7;4
père;7;5;16;3;16
perdre;7;5;17;2;24
entendre;2;5;19;7;30
sortir;4;9;11;14;17
idée;5;19;2;5;31
coup;9;5;3;15;8
voix;7;8;3;7;36
recevoir;10;5;14;7;16
demander;9;10;24;7;3
porter;14;9;5;7;18
nation;18;25;0;5;9
vertu;35;4;2;6;16
penser;6;25;8;5;3
humain;14;12;0;3;18
heureux;12;10;10;6;21
art;19;27;0;5;11
peine;3;16;11;20;11
lieu;2;12;4;16;18
raison;11;28;15;0;5
pays;5;12;27;4;5
tomber;11;6;9;1;24
présenter;4;11;8;12;5
connaître;12;19;9;4;3
entrer;0;4;17;20;5
étranger;7;9;19;16;6
plaisir;7;5;12;16;13
nouveau;8;26;5;5;7
apercevoir;1;6;11;25;10
mot;4;10;8;9;15
cher;5;3;31;3;9
reprendre;2;7;9;9;9
paria;0;4;1;0;3
nom;9;23;2;8;5
auteur;1;22;0;10;8
tenir;6;14;6;15;7
regarder;8;2;16;2;21
vivre;0;11;14;7;2
sembler;5;6;0;11;19
place;5;0;4;31;7
citoyen;27;3;1;10;6
air;2;0;5;21;20
long;4;12;4;6;5
jeune;12;4;11;5;10
doux;3;3;1;5;31
former;10;15;3;11;8
ami;5;9;14;2;12
force;20;3;1;3;21
corps;18;6;1;4;7
baron;0;0;12;0;0
prince;13;12;5;8;6
manger;1;6;18;5;1
laisser;7;5;12;14;5
ciel;2;1;5;8;23
ancien;7;14;6;13;1
particulier;14;18;1;7;3
ouvrage;7;23;0;12;4
malheureux;6;1;5;3;10
maison;2;1;9;14;12
lire;3;6;5;10;10
génie;15;11;1;2;9
chercher;4;19;3;6;6
vaisseau;3;2;29;3;3
simple;4;25;1;7;5
jeter;3;0;12;5;11
côté;6;5;1;18;8
marcher;2;10;6;10;7
espèce;9;11;4;10;4
bonheur;17;6;5;3;8
apprendre;9;10;6;4;6
vrai;9;9;5;7;3
soleil;0;4;1;7;26
naître;18;2;4;0;10
mourir;6;3;13;2;5
frère;4;3;19;2;9
doute;8;8;11;4;9
écrire;0;15;4;4;5
utile;7;23;0;6;8
suivre;3;14;12;5;4
monarque;15;4;1;11;14
couvrir;9;3;4;3;12
attendre;2;3;16;2;14
mademoiselle;0;0;35;0;0
effet;0;11;8;13;5
tuer;0;0;17;0;2
trône;19;3;1;3;14
honneur;5;5;6;8;3
fille;3;1;21;3;1
droit;19;5;1;2;1
sage;10;12;1;4;2
ordre;5;9;2;13;5
moment;9;2;10;5;11
souverain;23;6;3;3;4
grâce;1;5;7;7;9
besoin;9;11;1;7;8
année;8;4;5;13;2
amour;8;1;1;2;19
âge;13;9;2;5;7
table;4;1;18;9;2
revenir;8;3;14;1;1
propre;8;15;1;5;6
pauvre;3;2;9;3;3
ouvrir;1;0;5;9;17
oser;13;2;2;7;6
nuit;1;0;4;5;13
milieu;1;2;4;12;14
humanité;12;4;0;1;19
heure;2;3;10;12;9
regard;3;3;0;8;20
palais;3;4;4;19;1
monter;4;4;5;4;15
histoire;2;13;7;2;2
bramer;1;1;1;0;1
approcher;2;1;14;10;4
pur;6;7;1;1;15
gloire;5;7;1;9;10
exemple;16;10;2;2;1
charger;2;7;8;4;5
vaste;5;6;0;18;4
tour;3;4;2;8;5
savant;1;6;11;2;0
mère;4;1;1;0;8
meilleur;0;18;10;1;2
justice;16;2;2;6;3
haut;5;2;2;8;14
général;8;12;4;3;3
château;0;0;5;4;3
partir;5;2;18;5;4
mériter;1;13;6;10;2
liberté;15;2;2;1;11
larme;0;1;11;1;19
langue;1;7;5;2;3
frapper;4;7;1;12;8
élever;11;3;0;4;14
soin;6;5;7;3;11
royaume;10;9;4;4;1
remplir;3;2;2;11;15
question;0;3;1;3;1
payer;7;2;15;5;1
mener;0;1;20;3;0
lever;3;0;5;3;13
jouer;5;1;9;3;15
arrêter;1;5;4;10;4
anglais;2;2;4;0;1
sujet;5;15;2;4;5
partie;8;10;6;0;3
mauvais;1;1;9;5;1
manière;9;11;2;4;1
lettre;2;5;3;16;0
jésuite;2;2;16;1;0
découvrir;1;9;1;5;11
dernier;2;5;4;6;5
brûler;4;5;6;3;4
bras;6;0;8;3;10
arbre;4;2;1;1;3
travail;10;3;1;9;7
sentiment;4;2;2;0;21
rencontrer;0;3;10;12;4
profond;0;1;2;7;14
plein;1;5;3;7;12
lumière;1;15;2;1;10
goût;0;14;5;3;1
garder;2;5;8;6;0
foule;13;2;0;6;10
fils;2;2;5;0;15
appeler;1;1;11;3;2
traiter;1;8;8;1;3
science;0;19;2;2;2
salle;2;2;2;21;4
présent;2;9;9;2;5
plaire;8;0;8;3;6
permettre;12;4;3;4;4
patrie;18;2;2;1;4
objet;6;12;2;2;10
mer;6;5;6;3;0
malheur;4;0;6;3;3
auguste;4;2;1;6;18
argent;1;1;6;9;2
écrier;3;0;13;3;4
régner;12;5;0;7;5
pièce;1;6;6;7;3
passion;20;2;2;0;7
parole;4;1;11;4;2
offrir;5;2;4;6;9
nombre;2;3;1;17;3
moyen;2;18;1;4;2
crime;8;0;2;0;3
cri;2;1;0;4;20
courir;0;3;8;0;1
chef;5;2;1;1;5
cause;6;7;6;1;2
caractère;8;9;2;2;6
élevé;0;4;2;10;3
tableau;4;13;2;5;6
sang;7;2;1;1;7
pensée;2;4;0;10;6
pari;0;3;8;16;0
orgueil;14;0;0;10;1
montrer;4;2;0;5;15
misérable;8;4;4;5;6
guerre;7;1;4;6;2
front;3;3;0;1;21
fond;12;1;4;3;7
feu;3;0;0;8;7
cruel;4;3;2;1;5
commun;4;9;5;1;3
bientôt;9;3;6;1;9
