"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;4;4;4;4;4
"2";0;0;0;5;5;5;5;5;5
"3";0;0;0;0;4;4;4;4;4
"4";0;0;0;0;0;0;0;2;2
"5";0;0;0;5;5;5;5;5;5
"6";0;0;0;0;4;4;4;4;4
"7";0;0;0;0;0;0;3;3;3
"8";0;0;0;0;4;4;4;4;4
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;4;4;4;4;4
"11";0;0;0;0;0;0;0;2;2
"12";0;0;0;0;4;4;4;4;4
"13";0;0;0;0;0;0;0;0;0
"14";0;0;0;0;0;0;0;2;2
"15";0;0;0;0;4;4;4;4;4
"16";0;0;0;0;0;0;0;2;2
"17";0;0;0;0;4;4;4;4;4
"18";0;0;0;0;4;4;4;4;4
"19";0;0;0;0;0;0;0;2;2
"20";0;0;0;0;0;0;0;0;1
"21";0;0;0;0;4;4;4;4;4
"22";0;0;0;0;0;0;0;2;2
"23";0;0;0;0;0;0;0;2;2
"24";0;0;0;0;4;4;4;4;4
"25";0;0;0;0;0;0;0;0;1
"26";0;0;0;0;0;0;0;2;2
"27";0;0;0;0;4;4;4;4;4
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;4;4;4;4;4
"30";0;0;0;0;0;0;0;0;0
"31";0;0;0;0;4;4;4;4;4
"32";0;0;0;0;0;0;0;0;0
"33";0;0;0;0;0;0;0;2;2
"34";0;0;0;0;4;4;4;4;4
"35";0;0;0;0;4;4;4;4;4
"36";0;0;0;0;0;0;0;0;0
"37";0;0;0;0;0;0;0;2;2
"38";0;0;0;0;0;0;0;0;0
"39";0;0;0;0;0;0;0;2;2
"40";0;0;0;0;0;0;0;0;0
"41";0;0;0;5;5;5;5;5;5
"42";0;0;0;5;5;5;5;5;5
"43";0;0;0;0;4;4;4;4;4
"44";0;0;0;0;0;0;0;0;0
"45";0;0;0;0;4;4;4;4;4
"46";0;0;0;0;0;0;0;2;2
"47";0;0;0;0;4;4;4;4;4
"48";0;0;0;0;0;0;0;0;0
"49";0;0;0;0;0;0;0;0;1
"50";0;0;0;0;0;0;0;2;2
"51";0;0;0;0;4;4;4;4;4
"52";0;0;0;5;5;5;5;5;5
"53";0;0;0;0;4;4;4;4;4
"54";0;0;0;0;4;4;4;4;4
"55";0;0;0;0;0;0;0;0;0
"56";0;0;0;0;4;4;4;4;4
"57";0;0;0;0;0;0;0;2;2
"58";0;0;0;0;0;0;0;2;2
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;5;5;5;5;5;5
"61";0;0;0;0;4;4;4;4;4
"62";0;0;0;0;4;4;4;4;4
"63";0;0;0;5;5;5;5;5;5
"64";0;0;0;5;5;5;5;5;5
"65";0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;2;2
"67";0;0;0;0;4;4;4;4;4
"68";0;0;0;0;0;0;0;2;2
"69";0;0;0;0;0;0;0;0;0
"70";0;0;0;0;4;4;4;4;4
"71";0;0;0;0;4;4;4;4;4
"72";0;0;0;0;0;0;0;2;2
"73";0;0;0;0;4;4;4;4;4
"74";0;0;0;5;5;5;5;5;5
"75";0;0;0;5;5;5;5;5;5
"76";0;0;0;0;4;4;4;4;4
"77";0;0;0;0;0;0;0;2;2
"78";0;0;0;0;4;4;4;4;4
"79";0;0;0;0;4;4;4;4;4
"80";0;0;0;0;0;0;0;0;0
"81";0;0;0;0;4;4;4;4;4
"82";0;0;0;0;0;0;0;0;0
"83";0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;2;2
"85";0;0;0;0;0;0;3;3;3
"86";0;0;0;0;4;4;4;4;4
"87";0;0;0;0;4;4;4;4;4
"88";0;0;0;0;0;0;0;0;0
"89";0;0;0;0;0;0;0;0;0
"90";0;0;0;0;4;4;4;4;4
"91";0;0;0;0;4;4;4;4;4
"92";0;0;0;0;4;4;4;4;4
"93";0;0;0;0;0;0;0;0;1
"94";0;0;0;0;0;0;0;2;2
"95";0;0;0;0;0;0;0;2;2
"96";0;0;0;0;0;0;0;0;0
"97";0;0;0;0;0;0;0;2;2
"98";0;0;0;0;0;0;0;2;2
"99";0;0;0;0;0;0;0;0;0
"100";0;0;0;0;0;0;0;2;2
"101";0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;2;2
"103";0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;0;2;2
"105";0;0;0;5;5;5;5;5;5
"106";0;0;0;5;5;5;5;5;5
"107";0;0;0;0;0;0;0;2;2
"108";0;0;0;0;0;0;0;2;2
"109";0;0;0;0;0;0;0;2;2
"110";0;0;0;0;0;0;0;2;2
"111";0;0;0;0;4;4;4;4;4
"112";0;0;0;0;4;4;4;4;4
"113";0;0;0;0;0;0;3;3;3
"114";0;0;0;0;0;0;0;0;0
"115";0;0;0;0;0;0;0;0;0
"116";0;0;0;5;5;5;5;5;5
"117";0;0;0;5;5;5;5;5;5
"118";0;0;0;0;0;0;0;0;0
"119";0;0;0;5;5;5;5;5;5
"120";0;0;0;0;0;0;0;0;0
"121";0;0;0;0;4;4;4;4;4
"122";0;0;0;0;0;0;0;2;2
"123";0;0;0;0;0;0;0;0;0
"124";0;0;0;0;0;0;0;2;2
"125";0;0;0;5;5;5;5;5;5
"126";0;0;0;5;5;5;5;5;5
"127";0;0;0;0;0;0;0;0;0
"128";0;0;0;0;0;0;0;2;2
"129";0;0;0;0;4;4;4;4;4
"130";0;0;0;0;0;0;0;2;2
"131";0;0;0;0;0;0;0;0;0
"132";0;0;0;0;4;4;4;4;4
"133";0;0;0;5;5;5;5;5;5
"134";0;0;0;0;4;4;4;4;4
"135";0;0;0;0;4;4;4;4;4
"136";0;0;0;0;0;0;0;2;2
"137";0;0;0;0;0;0;0;2;2
"138";0;0;0;0;0;0;3;3;3
"139";0;0;0;0;0;0;0;2;2
"140";0;0;0;0;0;0;0;2;2
"141";0;0;0;0;4;4;4;4;4
"142";0;0;0;0;0;0;0;2;2
"143";0;0;0;5;5;5;5;5;5
"144";0;0;0;0;0;0;0;0;1
"145";0;0;0;0;0;0;0;2;2
"146";0;0;0;0;0;0;0;2;2
"147";0;0;0;0;0;0;0;0;0
"148";0;0;0;0;0;0;0;2;2
"149";0;0;0;0;4;4;4;4;4
"150";0;0;0;0;0;0;0;0;0
"151";0;0;0;0;0;0;0;2;2
"152";0;0;0;0;4;4;4;4;4
"153";0;0;0;0;0;0;0;2;2
"154";0;0;0;0;0;0;0;2;2
"155";0;0;0;0;0;0;0;0;0
"156";0;0;0;0;4;4;4;4;4
"157";0;0;0;0;4;4;4;4;4
"158";0;0;0;0;0;0;0;0;0
"159";0;0;0;5;5;5;5;5;5
"160";0;0;0;0;4;4;4;4;4
"161";0;0;0;0;4;4;4;4;4
"162";0;0;0;5;5;5;5;5;5
"163";0;0;0;5;5;5;5;5;5
"164";0;0;0;0;0;0;0;2;2
"165";0;0;0;0;0;0;0;0;0
"166";0;0;0;0;0;0;0;0;0
"167";0;0;0;0;0;0;0;0;0
"168";0;0;0;0;0;0;0;2;2
"169";0;0;0;0;0;0;0;0;0
"170";0;0;0;0;0;0;0;2;2
"171";0;0;0;0;0;0;0;0;1
"172";0;0;0;0;0;0;0;0;0
"173";0;0;0;0;4;4;4;4;4
"174";0;0;0;0;0;0;0;0;0
"175";0;0;0;0;0;0;0;0;0
"176";0;0;0;0;0;0;0;0;0
"177";0;0;0;0;0;0;3;3;3
"178";0;0;0;0;0;0;0;0;0
"179";0;0;0;0;0;0;3;3;3
"180";0;0;0;0;0;0;3;3;3
"181";0;0;0;0;0;0;0;0;0
"182";0;0;0;0;0;0;0;0;0
"183";0;0;0;5;5;5;5;5;5
"184";0;0;0;0;0;0;0;0;0
"185";0;0;0;0;0;0;0;0;0
"186";0;0;0;0;0;0;0;0;0
"187";0;0;0;0;0;0;0;2;2
"188";0;0;0;0;0;0;0;0;0
"189";0;0;0;0;0;0;0;2;2
"190";0;0;0;0;0;0;0;0;0
"191";0;0;0;0;0;0;0;2;2
"192";0;0;0;0;0;0;0;0;0
"193";0;0;0;0;0;0;0;0;0
"194";0;0;0;0;0;0;0;0;0
"195";0;0;0;0;0;0;0;0;0
"196";0;0;0;0;0;0;0;0;0
"197";0;0;0;0;0;0;0;2;2
"198";0;0;0;0;0;0;0;2;2
"199";0;0;0;0;0;0;0;2;2
"200";0;0;0;0;0;0;0;0;0
"201";0;0;0;0;0;0;0;0;0
"202";0;0;0;0;0;0;0;0;0
"203";0;0;0;0;0;0;0;0;0
"204";0;0;0;0;0;0;0;0;0
"205";0;0;0;0;0;0;0;0;0
"206";0;0;0;5;5;5;5;5;5
"207";0;0;0;0;0;0;0;0;0
"208";0;0;0;0;0;0;0;0;0
"209";0;0;0;0;0;0;0;0;0
"210";0;0;0;0;0;0;0;0;0
"211";0;0;0;0;0;0;0;0;0
"212";0;0;0;0;0;0;0;0;0
"213";0;0;0;0;0;0;0;2;2
"214";0;0;0;0;0;0;0;0;0
"215";0;0;0;0;0;0;0;0;0
"216";0;0;0;0;0;0;0;2;2
"217";0;0;0;0;0;0;0;0;0
