"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"419";"2491";"16.82";"****";""
"41";" 70";" 58.57";"89.73";"loi";"2.725811e-21"
"43";" 82";" 52.44";"76.89";"état";"1.811534e-18"
"35";" 63";" 55.56";"69.31";"vertu";"8.400221e-17"
"27";" 47";" 57.45";"56.51";"citoyen";"5.590469e-14"
"44";"101";" 43.56";"53.81";"roi";"2.205090e-13"
"19";" 28";" 67.86";"52.72";"droit";"3.846801e-13"
"20";" 31";" 64.52";"51.04";"passion";"9.055965e-13"
"23";" 39";" 58.97";"50.32";"souverain";"1.306542e-12"
"15";" 20";" 75.00";"48.78";"empire";"2.868040e-12"
"18";" 27";" 66.67";"48.47";"patrie";"3.348075e-12"
"14";" 19";" 73.68";"44.25";"barbare";"2.893229e-11"
" 8";"  8";"100.00";"39.69";"volonté";"2.979017e-10"
" 8";"  8";"100.00";"39.69";"consumer";"2.979017e-10"
" 8";"  8";"100.00";"39.69";"autorité";"2.979017e-10"
"15";" 23";" 65.22";"38.86";"libre";"4.546636e-10"
"10";" 12";" 83.33";"38.13";"tyrannie";"6.628744e-10"
"18";" 34";" 52.94";"32.14";"naître";"1.431488e-08"
"16";" 29";" 55.17";"30.85";"justice";"2.793234e-08"
" 6";"  6";"100.00";"29.74";"égorger";"4.934665e-08"
" 6";"  6";"100.00";"29.74";"sûreté";"4.934665e-08"
" 6";"  6";"100.00";"29.74";"noeud";"4.934665e-08"
" 6";"  6";"100.00";"29.74";"avarice";"4.934665e-08"
" 6";"  6";"100.00";"29.74";"affaiblir";"4.934665e-08"
" 9";" 12";" 75.00";"29.17";"glaive";"6.624071e-08"
"18";" 36";" 50.00";"28.74";"corps";"8.271994e-08"
" 8";" 10";" 80.00";"28.64";"tribut";"8.695759e-08"
" 8";" 10";" 80.00";"28.64";"révolution";"8.695759e-08"
"14";" 25";" 56.00";"27.71";"orgueil";"1.411910e-07"
"19";" 40";" 47.50";"27.35";"trône";"1.699205e-07"
"16";" 31";" 51.61";"27.16";"exemple";"1.874046e-07"
"10";" 15";" 66.67";"26.80";"soumettre";"2.257395e-07"
" 5";"  5";"100.00";"24.78";"sanglant";"6.441879e-07"
" 5";"  5";"100.00";"24.78";"nécessité";"6.441879e-07"
" 5";"  5";"100.00";"24.78";"légitime";"6.441879e-07"
"13";" 24";" 54.17";"24.16";"sacré";"8.877409e-07"
"10";" 16";" 62.50";"24.02";"criminel";"9.552978e-07"
" 6";"  7";" 85.71";"23.81";"sûr";"1.061353e-06"
" 6";"  7";" 85.71";"23.81";"pardonner";"1.061353e-06"
"11";" 19";" 57.89";"23.09";"nécessaire";"1.548644e-06"
"15";" 31";" 48.39";"22.36";"liberté";"2.264804e-06"
"20";" 48";" 41.67";"21.59";"force";"3.367384e-06"
"10";" 17";" 58.82";"21.58";"agir";"3.387108e-06"
" 8";" 12";" 66.67";"21.41";"don";"3.701837e-06"
" 8";" 12";" 66.67";"21.41";"fer";"3.701837e-06"
"17";" 39";" 43.59";"20.29";"bonheur";"6.646637e-06"
" 7";" 10";" 70.00";"20.29";"industrie";"6.639131e-06"
" 7";" 10";" 70.00";"20.29";"honorable";"6.639131e-06"
" 7";" 10";" 70.00";"20.29";"confier";"6.639131e-06"
" 4";"  4";"100.00";"19.81";"quelqu";"8.543367e-06"
" 4";"  4";"100.00";"19.81";"contenter";"8.543367e-06"
" 4";"  4";"100.00";"19.81";"chimère";"8.543367e-06"
" 4";"  4";"100.00";"19.81";"sacrifier";"8.543367e-06"
" 4";"  4";"100.00";"19.81";"jusques";"8.543367e-06"
" 4";"  4";"100.00";"19.81";"châtiment";"8.543367e-06"
" 6";"  8";" 75.00";"19.42";"honteux";"1.050979e-05"
" 6";"  8";" 75.00";"19.42";"ambition";"1.050979e-05"
" 6";"  8";" 75.00";"19.42";"tempérament";"1.050979e-05"
" 6";"  8";" 75.00";"19.42";"aveugle";"1.050979e-05"
" 5";"  6";" 83.33";"19.02";"gémir";"1.295280e-05"
" 5";"  6";" 83.33";"19.02";"commodité";"1.295280e-05"
" 8";" 13";" 61.54";"18.68";"crime";"1.547856e-05"
" 8";" 13";" 61.54";"18.68";"combattre";"1.547856e-05"
" 9";" 16";" 56.25";"17.89";"coupable";"2.335760e-05"
" 7";" 11";" 63.64";"17.31";"fortune";"3.178685e-05"
" 7";" 11";" 63.64";"17.31";"monstre";"3.178685e-05"
" 7";" 11";" 63.64";"17.31";"disposer";"3.178685e-05"
" 6";"  9";" 66.67";"16.04";"esclavage";"6.199850e-05"
" 6";"  9";" 66.67";"16.04";"avilir";"6.199850e-05"
" 6";"  9";" 66.67";"16.04";"ressort";"6.199850e-05"
" 9";" 17";" 52.94";"15.96";"effort";"6.463962e-05"
"34";"112";" 30.36";"15.36";"coeur";"8.890224e-05"
"13";" 30";" 43.33";"15.26";"oser";"9.388350e-05"
" 5";"  7";" 71.43";"14.96";"superstition";"1.097242e-04"
" 5";"  7";" 71.43";"14.96";"sénat";"1.097242e-04"
" 5";"  7";" 71.43";"14.96";"user";"1.097242e-04"
" 5";"  7";" 71.43";"14.96";"faste";"1.097242e-04"
" 5";"  7";" 71.43";"14.96";"excès";"1.097242e-04"
"12";" 27";" 44.44";"14.89";"permettre";"1.141408e-04"
"12";" 27";" 44.44";"14.89";"fond";"1.141408e-04"
" 3";"  3";"100.00";"14.85";"déposer";"1.162101e-04"
" 3";"  3";"100.00";"14.85";"brûlant";"1.162101e-04"
" 4";"  5";" 80.00";"14.29";"égalité";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"législateur";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"distinction";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"nord";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"césar";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"concitoyen";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"édit";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"violence";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"profession";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"insulter";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"insensibilité";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"dépôt";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"député";"1.564059e-04"
" 4";"  5";" 80.00";"14.29";"concentrer";"1.564059e-04"
"15";" 38";" 39.47";"14.15";"génie";"1.684949e-04"
"13";" 31";" 41.94";"14.15";"foule";"1.686466e-04"
"84";"356";" 23.60";"13.63";"homme";"2.230242e-04"
" 6";" 10";" 60.00";"13.38";"désir";"2.543691e-04"
" 7";" 13";" 53.85";"12.80";"forcer";"3.457809e-04"
" 7";" 13";" 53.85";"12.80";"puissance";"3.457809e-04"
