"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"homme";0;0,005;0;0,009;0,972
"voir";0,009;0,01;0,304;0;0,464
"candide";0;0;0;0;0
"grand";0,443;0,939;0,046;0,066;0,634
"donner";0,958;0;0,842;0,006;0,025
"aller";0,073;0,006;0;0,277;0,001
"trouver";0,003;0;0,072;0;0
"jour";0,066;0,107;0,553;0,135;0,036
"mettre";0,02;0,644;0,057;0,118;0,003
"oeil";0,148;0,008;0,014;0,023;0
"beau";0,695;0,722;0,029;0,741;0,064
"temps";0,754;0;0,017;0,318;0,139
"venir";0,027;0,31;0,139;0,178;0,835
"dieu";0,627;0,015;0,037;0,014;0
"coeur";0;0,474;0;0,002;0
"roi";0;0,006;0,745;0,002;0,152
"monde";0,017;0,612;0;0,142;0,592
"prendre";0,034;0,007;0;0,582;0,217
"peuple";0,004;0,912;0;0,474;0,154
"cunégonde";0;0;0;0;0
"répondre";0,092;0,948;0,001;0,363;0,443
"main";0,013;0,303;0,003;0,295;0,008
"âme";0,002;0,27;0;0;0
"parler";0,004;0,214;0,038;0,001;0,023
"nature";0,007;0,008;0;0,006;0,021
"vérité";0,128;0;0;0,001;0,004
"rendre";0,001;0,064;0,033;0,013;0,002
"martin";0;0;0;0;0
"terre";0,579;0,004;0,167;0,131;0,001
"passer";0,115;0,71;0,001;0,636;0,035
"mort";0,126;0,606;0,044;0,484;0,075
"état";0;0,023;0,085;0,008;0,133
"vie";0,199;0,081;0,223;0,383;0
"femme";0,78;0,26;0,057;0,347;0
"petit";0,013;0,279;0,88;0;0,175
"pangloss";0,001;0;0;0;0
"docteur";0,081;0,179;0,004;0,237;0,137
"ville";0,19;0,197;0,307;0;0,426
"siècle";0,624;0;0;0,31;0,013
"devenir";0,337;0;0,89;0,028;0,46
"loi";0;0,485;0;0,064;0,004
"chose";0,009;0,004;0,645;0,009;0,001
"esprit";0,636;0;0,001;0,038;0,194
"tête";0,035;0,006;0,001;0;0,876
"premier";0,068;0,186;0,923;0,361;0,57
"rester";0,796;0,077;0,269;0,008;0,095
"public";0,014;0,16;0;0,001;0,032
"porte";0,796;0,259;0,104;0;0,647
"fois";0,003;0,237;0,022;0,522;0,187
"livre";0,035;0;0,598;0,346;0
"cacambo";0;0;0;0;0
"seul";0,016;0,804;0,008;0,484;0,171
"sentir";0,049;0,026;0;0,047;0,072
"chapitre";0,089;0,217;0,002;0,062;0,038
"gens";0,002;0;0,565;0,001;0
"aimer";0,412;0,008;0,128;0,031;0
"maître";0,009;0,037;0;0,058;0,447
"vieux";0,001;0,004;0;0,017;0
"pied";0,219;0,076;0,904;0,618;0,81
"paraître";0,034;0,099;0,608;0,018;0,449
"enfant";0,648;0,674;0,016;0,449;0,002
"arriver";0,167;0,13;0,001;0,475;0,168
"servir";0,049;0,04;0,822;0,347;0,009
"père";0,721;0,118;0,054;0,031;0,06
"perdre";0,412;0,047;0,128;0,004;0
"entendre";0,003;0,018;0,137;0,128;0
"sortir";0,056;0,542;0,661;0,177;0,141
"idée";0,062;0,026;0;0,033;0
"coup";0,333;0,255;0,022;0,002;0,683
"voix";0,258;0,197;0,001;0,154;0
"recevoir";0,639;0,067;0,434;0,347;0,159
"demander";0,975;0,893;0;0,319;0,003
"porter";0,059;0,629;0,022;0,319;0,047
"nation";0,003;0;0;0,056;0,209
"vertu";0;0,007;0;0,064;0,602
"penser";0,453;0;0,369;0,163;0,007
"humain";0,016;0,3;0;0,031;0,01
"heureux";0,465;0,605;0,306;0,096;0,017
"art";0,003;0;0;0,033;0,347
"peine";0,012;0,186;0,403;0,004;0,38
"lieu";0,011;0,522;0,01;0,021;0,038
"raison";0,705;0;0,578;0;0,008
"pays";0,146;0,572;0;0,038;0,02
"tomber";0,36;0,155;0,407;0,002;0
"présenter";0,245;0,204;0,709;0,058;0,121
"connaître";0,107;0;0,585;0,076;0,007
"entrer";0,002;0,06;0,017;0;0,053
"étranger";0,354;0,464;0,046;0,059;0,027
"plaisir";0,477;0,06;0,972;0,026;0,746
"nouveau";0,827;0;0,029;0,107;0,123
"apercevoir";0,003;0,125;0,766;0;0,503
"mot";0,137;0,711;0,407;0,846;0,105
"cher";0,176;0,013;0;0,019;0,386
"reprendre";0,069;0,982;0,711;0,309;0,738
"paria";0,203;0,03;0,5;0,178;0,316
"nom";0,667;0;0,003;0,797;0,047
"auteur";0,013;0;0,001;0,324;0,625
"tenir";0,419;0,091;0,096;0,021;0,176
"regarder";0,926;0,006;0,084;0,009;0,001
"vivre";0,008;0,059;0,008;0,748;0,019
"sembler";0,425;0,42;0,001;0,164;0
"place";0,253;0,001;0,021;0;0,198
"citoyen";0;0,021;0,001;0,616;0,101
"air";0,018;0,001;0,044;0;0,002
"long";0,557;0,007;0,2;0,898;0,381
"jeune";0,04;0,097;0,557;0,269;0,86
"doux";0,082;0,036;0,001;0,244;0
"former";0,41;0,032;0,008;0,378;0,35
"ami";0,39;0,762;0,088;0,021;0,358
"force";0;0,019;0,001;0,028;0
"corps";0;0,656;0,004;0,252;0,64
"baron";0,118;0,087;0;0,098;0,06
"prince";0,023;0,195;0,076;0,961;0,148
"manger";0,042;0,973;0;0,736;0,009
"laisser";0,924;0,184;0,386;0,016;0,081
"ciel";0,049;0,007;0,147;0,74;0
"ancien";0,965;0,018;0,227;0,028;0,002
"particulier";0,005;0;0,001;0,709;0,013
"ouvrage";0,769;0;0;0,179;0,022
"malheureux";0,335;0,048;0,769;0,402;0,038
"maison";0,055;0,008;0,853;0,003;0,187
"lire";0,209;0,774;0,276;0,098;0,345
"génie";0;0,143;0,003;0,035;0,882
"chercher";0,296;0;0,03;0,668;0,307
"vaisseau";0,112;0,019;0;0,072;0,021
"simple";0,202;0;0,002;0,762;0,093
"jeter";0,285;0,006;0,029;0,736;0,087
"côté";0,864;0,314;0,003;0;0,809
"marcher";0,077;0,178;0,449;0,121;0,703
"espèce";0,254;0,143;0,076;0,209;0,071
