de;319;390;390;357;447
être;292;340;334;299;344
la;254;276;278;267;346
le;227;221;287;234;318
avoir;227;273;271;211;229
les;217;235;210;214;261
l;228;247;170;205;314
et;122;179;349;167;206
à;201;210;288;202;231
ne;196;232;220;201;216
il;147;183;273;157;182
un;156;168;215;189;215
que;185;197;218;171;210
des;163;195;133;162;190
qui;161;191;148;164;240
d;146;148;159;168;208
en;135;135;169;148;143
je;61;82;154;137;135
qu;105;150;156;120;130
dans;99;110;163;149;165
on;84;146;112;134;106
plus;105;119;88;120;139
une;89;108;106;134;139
vous;55;72;133;80;68
du;101;84;120;94;134
ce;109;124;131;99;105
faire;82;111;145;97;100
nous;72;96;68;57;90
pour;91;85;89;85;98
dire;38;60;234;76;56
se;76;59;85;78;115
pas;69;86;93;64;67
s;65;80;73;67;93
son;52;61;87;48;114
ils;39;79;56;59;72
au;65;68;68;64;85
sur;72;58;56;57;90
mais;69;90;82;67;58
tout;45;58;82;70;65
lui;43;55;95;43;64
par;55;78;46;42;43
ces;54;51;46;67;82
leur;46;58;43;50;61
me;30;42;58;75;58
ses;50;43;39;41;92
si;35;59;51;46;49
y;25;57;85;57;44
avec;42;51;76;51;63
cette;47;61;39;56;71
c;59;53;57;46;58
elle;32;39;56;19;70
sa;37;42;43;25;76
j;24;27;60;60;48
pouvoir;47;49;74;38;58
comme;41;61;37;44;63
bien;33;50;74;47;33
point;54;41;33;48;51
leurs;35;36;28;29;46
tous;38;58;40;33;55
mon;19;24;57;32;44
où;26;39;27;41;47
sans;33;37;27;35;35
aux;37;36;18;22;41
m;12;21;39;43;34
deux;17;11;72;20;20
ou;29;32;20;35;23
même;34;46;18;16;33
devoir;27;33;16;27;42
votre;22;29;25;24;14
dont;18;20;20;26;42
toutes;18;34;14;25;21
savoir;13;34;26;19;24
autre;23;29;31;23;22
vouloir;21;15;38;14;20
nos;22;33;8;13;31
encore;14;21;26;23;21
ni;9;12;9;12;7
bon;16;20;41;15;17
moi;9;13;35;18;14
toujours;10;19;27;20;28
notre;26;25;12;13;21
jamais;24;21;23;13;18
toute;12;24;19;17;24
rien;11;22;21;20;20
falloir;9;28;34;14;11
aussi;17;18;23;15;17
elles;16;20;5;18;13
autres;9;23;20;14;18
cet;23;19;17;17;24
sous;18;14;7;13;33
tant;15;21;9;19;13
peu;14;16;24;13;8
ainsi;18;17;16;12;16
après;8;10;30;8;12
croire;9;14;20;17;17
quelques;9;15;25;18;10
moins;10;15;11;21;15
car;12;22;19;15;11
ma;4;4;26;11;14
quand;11;10;33;11;11
vos;10;12;9;12;18
fort;12;16;17;18;10
chaque;16;21;5;22;14
enfin;11;14;22;12;16
